game_id,date,player,min,fgm,fga,tpm,tpa,ftm,fta,oreb,dreb,ast,stl,blk,tov,pf
G1,"May 19, 2026",Candin Sweet,,1,2,0,1,2,3,0,5,1,0,0,4,0
G1,"May 19, 2026",Chase Jackson,,3,9,2,3,2,3,0,1,0,1,0,4,0
G1,"May 19, 2026",Chris Moore,,1,2,0,0,0,0,0,4,0,0,1,1,2
G1,"May 19, 2026",Elijah Small,,0,1,0,0,0,0,0,0,0,2,0,0,2
G1,"May 19, 2026",Grant Cage,,4,12,0,5,2,6,2,4,1,3,1,3,1
G1,"May 19, 2026",Leo Thompson,,1,2,1,1,0,0,0,2,2,0,0,0,4
G1,"May 19, 2026",Max Sow,,0,0,0,0,0,0,0,0,0,0,0,0,1
G1,"May 19, 2026",Miles Willis,,0,1,0,0,2,3,0,0,0,0,0,2,0
G1,"May 19, 2026",Noah Philips,,2,2,0,0,1,2,0,3,1,3,0,2,1
G1,"May 19, 2026",Sean Colbert,,1,2,0,0,0,0,0,1,0,0,0,0,2
G2,"May 21, 2026",Candin Sweet,,1,4,0,0,2,2,1,2,0,1,0,0,4
G2,"May 21, 2026",Chase Jackson,,6,17,5,13,1,4,2,3,3,2,0,2,4
G2,"May 21, 2026",Chris Moore,,2,4,1,2,0,0,4,4,0,1,0,0,7
G2,"May 21, 2026",Christian Towe,,8,15,1,5,5,7,1,7,3,1,1,2,1
G2,"May 21, 2026",Gavin Payne,,0,0,0,0,0,0,0,0,0,0,0,0,0
G2,"May 21, 2026",Grant Cage,,0,10,0,7,0,2,0,0,5,1,0,1,2
G2,"May 21, 2026",Miles Willis,,0,1,0,1,0,0,0,0,0,0,0,0,0
G2,"May 21, 2026",Noah Laster,,1,1,0,0,0,0,1,2,0,1,0,1,2
G2,"May 21, 2026",Noah Philips,,0,3,0,1,1,2,0,1,0,1,0,2,1
G2,"May 21, 2026",Reid Bauman,,1,1,1,1,0,0,0,1,0,1,0,1,1
G2,"May 21, 2026",Sean Colbert,,0,4,0,0,0,2,4,4,0,1,0,0,1
G3,"May 31, 2026",Candin Sweet,,6,9,1,2,0,0,3,1,2,0,2,1,0
G3,"May 31, 2026",Chase Jackson,,4,15,1,7,1,2,2,7,2,1,3,4,2
G3,"May 31, 2026",Christian Towe,,6,15,0,3,5,6,2,6,6,1,0,2,2
G3,"May 31, 2026",Gavin Payne,,3,7,0,0,0,0,1,2,0,0,1,1,5
G3,"May 31, 2026",Grant Cage,,4,14,3,8,2,2,3,4,4,2,1,2,2
G3,"May 31, 2026",Max Sow,,0,0,0,0,0,0,0,0,0,0,0,0,0
G3,"May 31, 2026",Miles Willis,,0,1,0,1,0,0,0,0,0,0,0,0,0
G3,"May 31, 2026",Noah Philips,,2,3,0,1,1,3,4,1,0,0,0,0,0
G3,"May 31, 2026",Reid Bauman,,0,0,0,0,0,0,0,2,0,1,0,1,1
G3,"May 31, 2026",Sean Colbert,,0,0,0,0,0,2,1,2,2,0,0,0,3
G4,"May 31, 2026",Candin Sweet,,0,1,0,1,0,0,1,1,0,0,0,1,1
G4,"May 31, 2026",Chase Jackson,,10,15,4,7,2,2,5,5,2,2,0,3,2
G4,"May 31, 2026",Christian Towe,,8,15,1,6,4,7,2,4,1,5,1,2,1
G4,"May 31, 2026",Gavin Payne,,2,6,0,0,0,0,0,4,3,2,1,5,4
G4,"May 31, 2026",Grant Cage,,3,10,1,7,2,6,0,4,1,2,0,1,1
G4,"May 31, 2026",Max Sow,,0,0,0,0,1,4,0,1,0,0,1,1,3
G4,"May 31, 2026",Miles Willis,,0,0,0,0,0,0,0,1,0,0,0,1,0
G4,"May 31, 2026",Noah Philips,,0,2,0,1,1,2,2,0,2,0,0,1,3
G4,"May 31, 2026",Reid Bauman,,0,0,0,0,0,0,0,1,1,1,0,0,1
G4,"May 31, 2026",Sean Colbert,,0,0,0,0,0,0,1,1,2,0,1,0,1
G5,"June 6, 2026",Candin Sweet,,2,3,0,0,0,0,1,1,0,1,1,1,1
G5,"June 6, 2026",Chase Jackson,,4,15,2,6,5,7,1,2,1,2,0,2,3
G5,"June 6, 2026",Chris Moore,,0,9,0,3,0,0,5,6,0,0,2,0,3
G5,"June 6, 2026",Gavin Payne,,5,7,0,1,0,2,1,2,1,3,0,1,4
G5,"June 6, 2026",Grant Cage,,6,17,1,6,0,0,0,5,3,0,0,4,3
G5,"June 6, 2026",Leo Thompson,,0,1,0,1,0,0,0,0,0,0,0,1,0
G5,"June 6, 2026",Max Sow,,0,0,0,0,0,0,0,0,0,0,0,0,1
G5,"June 6, 2026",Miles Willis,,0,1,0,0,0,0,0,0,1,0,0,1,0
G5,"June 6, 2026",Noah Philips,,6,12,0,0,1,3,8,0,1,0,0,0,2
G5,"June 6, 2026",Reid Bauman,,0,1,0,1,1,4,1,2,0,1,0,1,1
G5,"June 6, 2026",Sean Colbert,,0,0,0,0,1,2,0,1,0,0,1,0,0
G6,"June 6, 2026",Candin Sweet,,1,5,0,0,0,0,0,0,1,2,0,0,1
G6,"June 6, 2026",Chase Jackson,,6,13,3,7,3,6,1,7,1,1,0,1,3
G6,"June 6, 2026",Chris Moore,,1,5,0,1,0,0,1,1,0,0,1,0,1
G6,"June 6, 2026",Elijah Small,,0,0,0,0,0,0,0,0,0,0,0,1,0
G6,"June 6, 2026",Gavin Payne,,1,4,0,1,0,0,3,2,0,0,0,3,1
G6,"June 6, 2026",Grant Cage,,6,17,2,6,2,2,2,5,4,3,0,1,2
G6,"June 6, 2026",Leo Thompson,,0,1,0,0,0,1,1,0,0,0,0,0,0
G6,"June 6, 2026",Max Sow,,0,0,0,0,0,2,0,0,0,0,0,1,1
G6,"June 6, 2026",Miles Willis,,0,2,0,2,0,0,0,0,0,0,0,1,1
G6,"June 6, 2026",Noah Laster,,0,0,0,0,0,0,0,0,1,0,0,0,0
G6,"June 6, 2026",Noah Philips,,2,3,0,0,0,0,1,2,0,0,0,0,0
G6,"June 6, 2026",Reid Bauman,,0,0,0,0,1,2,0,1,0,0,0,0,2
G6,"June 6, 2026",Sean Colbert,,0,0,0,0,0,0,0,2,0,0,0,1,2
