game_id,date,player,min,fgm,fga,tpm,tpa,ftm,fta,oreb,dreb,ast,stl,blk,tov,pf
G1,June 7 2026,Marcus Lee,32,9,17,3,7,5,6,1,4,8,3,0,3,2
G1,June 7 2026,Andre Walker,30,7,14,4,8,2,2,0,5,2,1,0,2,1
G1,June 7 2026,Tyrese Booker,29,6,11,1,3,4,5,3,6,2,2,1,1,3
G1,June 7 2026,Jalen Price,27,5,9,0,1,3,4,4,7,1,1,3,2,4
G1,June 7 2026,Chris Nguyen,18,2,6,1,3,1,2,0,2,4,1,0,1,1
G2,June 8 2026,Marcus Lee,33,8,19,2,8,7,8,0,5,7,4,0,4,3
G2,June 8 2026,Andre Walker,31,9,18,3,9,1,1,1,4,3,2,1,3,2
G2,June 8 2026,Tyrese Booker,30,4,10,0,2,2,2,2,8,1,1,2,2,2
G2,June 8 2026,Jalen Price,28,6,11,0,0,4,6,5,9,0,2,2,1,3
G2,June 8 2026,Chris Nguyen,16,1,5,0,2,0,0,1,1,3,0,0,2,1
